Days,Telescope,Flux,Error
7.72,Camb,1.1,0.11
8.83,Camb,3.8,0.38
9.88,Camb,5,0.5
10.68,Camb,5.8,0.58
10.81,Camb,6.4,0.64
10.93,Camb,6.9,0.69
11.08,Camb,7.9,0.79
11.37,VLA B,8.04,0.629
11.69,Camb,8,0.8
12.08,Camb,8.7,0.87
12.33,VLA B,10.569,0.828
12.99,Camb,11.1,1.11
13.46,VLA B,11.586,0.934
13.73,Camb,11.1,1.11
14.25,VLA B,14.61,1.122
14.88,Camb,12.4,1.24
15.73,Camb,16,1.6
16.53,VLA B,17.68,1.428
16.85,Camb,16.4,1.64
17.07,VLA B,20.14,1.525
17.65,Camb,19.4,1.94
19.06,Camb,24.1,2.41
20.07,Camb,26,2.6
21.73,Camb,29.3,2.93
22.25,VLA B,31.44,2.372
22.62,Camb,31.6,3.16
22.97,VLA B,34.91,2.638
23.83,Camb,35.8,3.58
24.51,VLA B,34.77,2.631
24.78,Camb,36.1,3.61
25.48,VLA B,37.35,2.822
26.67,Camb,39.7,3.97
26.88,VLA B,37.92,2.865
27.71,Camb,42.2,4.22
28.71,Camb,46,4.6
29.7,Camb,46,4.6
29.85,VLA B,47.2,3.594
31.05,Camb,49.8,4.98
31.52,VLA B,51.45,3.883
31.63,Camb,50.4,5.04
32.61,Camb,48.1,4.81
33.71,Camb,56.6,5.66
34.93,VLA B,61.09,4.585
35.63,Camb,60.4,6.04
35.71,VLA B,55.95,4.205
36.66,Camb,60.4,6.04
37.27,VLA B,67.32,5.066
37.78,Camb,65.4,6.54
38.79,Camb,63.1,6.31
39.79,Camb,65.7,6.57
40.11,VLA B,67.44,5.074
40.79,Camb,65.7,6.57
42.78,Camb,64,6.4
44.74,VLA B/C,69.9,5.249
45.71,Camb,70.4,7.04
46.74,Camb,70.9,7.09
47.2,VLA B/C,77.15,5.805
47.73,Camb,73.5,7.35
49.7,Camb,71,7.1
50.13,VLA B/C,74.4,5.582
50.69,Camb,70.2,7.02
52.76,Camb,71.4,7.14
53.17,VLA B/C,72.698,5.474
54.68,Camb,72,7.2
55.65,Camb,72.6,7.26
56.65,Camb,73.7,7.37
57.68,Camb,76.7,7.67
58.67,Camb,71.2,7.12
58.99,VLA B/C,79.48,5.979
59.66,Camb,74.1,7.41
63.04,VLA B/C,76.2,5.726
65.72,Camb,77.2,7.72
66.62,Camb,77.9,7.79
67.57,Camb,75.9,7.59
68.06,VLA B/C,65.593,4.96
70.71,Camb,76.9,7.69
71.85,Camb,76.4,7.64
73.71,Camb,78.2,7.82
74.7,Camb,78,7.8
75.06,VLA C,77.27,5.808
77.69,Camb,72.9,7.29
82.92,VLA C,74.92,5.641
84.59,Camb,67.9,6.79
85.57,Camb,70.9,7.09
86.6,Camb,71.3,7.13
87.46,Camb,72,7.2
88.77,Camb,72.2,7.22
89.75,VLA C,75.86,5.695
95.22,VLA C,73.66,5.539
95.64,Camb,75,7.5
101.82,Camb,69.1,6.91
102.66,Camb,70,7
107.77,VLA C,89.19,6.718
113.02,VLA C,72.96,5.488
114.55,Camb,70.9,7.09
124.38,Camb,64.9,6.49
124.88,VLA C,62.92,4.761
127.74,Camb,56.7,5.67
129.75,Camb,56.8,5.68
130.34,Camb,61.3,6.13
131.95,VLA C,58.86,4.513
135.94,VLA C/D,37.856,2.884
137.93,VLA C/D,42.091,3.219
138.32,Camb,54.7,5.47
139.73,Camb,56.2,5.62
141.72,Camb,56.6,5.66
145.45,Camb,60.6,6.06
146.41,Camb,54.8,5.48
147.71,Camb,57.4,5.74
148.54,VLA C,59.74,4.502
150.49,Camb,56.1,5.61
154.69,Camb,49.7,4.97
156.78,VLA C/D,47.432,3.618
158.39,Camb,50.2,5.02
159.33,Camb,50.6,5.06
161.35,Camb,47.8,4.78
162.48,Camb,48.5,4.85
165.59,Camb,48.3,4.83
169.59,Camb,48.1,4.81
171.49,Camb,45.1,4.51
174.33,Camb,43.5,4.35
174.72,VLA C/D,49.5,3.732
175,VLA,49.5,3
175.75,VLA C/D,37.243,2.81
181.34,Camb,44.8,4.48
182.75,VLA C/D,43.95,3.324
183.3,Camb,43.4,4.34
185.62,Camb,42.7,4.27
190.5,Camb,39.8,3.98
190.66,VLA C/D,39.93,3.006
194.31,Camb,43.7,4.37
195.27,Camb,42.7,4.27
202.26,Camb,44.1,4.41
203.8,VLA C/D,24.65,2.003
211.56,Camb,37.9,3.79
211.61,VLA C/D,37.32,2.83
218.58,VLA D,38.93,2.954
222.26,Camb,37.8,3.78
223,VLA,39.6,2
223.21,Camb,38.4,3.84
227.23,Camb,39.7,3.97
228.22,Camb,36.4,3.64
233.4,Camb,37.1,3.71
236.58,VLA D,38.61,2.921
237.17,Camb,35.4,3.54
240.06,Camb,36.1,3.61
245.56,VLA D,36.84,2.813
246.45,Camb,32.2,3.22
248.26,Camb,35.5,3.55
249.14,Camb,32.7,3.27
250.14,Camb,32.6,3.26
252.14,Camb,33.5,3.35
252.58,VLA D,32.29,2.44
253.13,Camb,32.6,3.26
264,VLA,33.2,1.7
266.58,VLA D,34.3,2.625
267.15,Camb,34,3.4
269.1,Camb,32.9,3.29
272.09,Camb,32.5,3.25
273.93,Camb,33.3,3.33
274.56,VLA D,33.28,2.525
275.93,Camb,34.5,3.45
281.07,Camb,33.2,3.32
285.37,VLA D,33.74,2.547
288.12,Camb,34,3.4
291.51,VLA D,32.48,2.449
305.3,VLA D,32.26,2.443
306,VLA,29.2,2.9
306.86,Camb,29.9,2.99
316.82,Camb,30.2,3.02
317.22,VLA D,31.23,2.395
324.8,Camb,27.8,2.78
326.9,Camb,26.6,2.66
327.3,VLA A,34.35,2.61
328.96,Camb,26.1,2.61
329.96,Camb,25.7,2.57
345.18,Camb,27.4,2.74
345.8,Camb,26.5,2.65
357.36,VLA A,29.717,2.276
359,Camb,28.4,2.84
375.7,Camb,21.3,2.13
393.18,VLA A,17.95,1.447
412.57,Camb,21.8,2.18
424.16,VLA A/B,26.79,2.061
449.6,Camb,23.3,2.33
522.69,VLA B,15.71,1.313
564.64,VLA C,14.44,1.248
648.39,VLA C/D,16.22,1.667
739.14,VLA D,9.67,0.864
810.05,VLA D/A,6.49,0.727
922.69,VLA B,14.3,1.152
1020,VLA B/C,13.345,1.03
1287.57,VLA D/A,10.37,1.672
1397.21,VLA A/B,10.7,0.915
1693,VLA,14,2.6
1899.85,VLA A/B,4.735,0.435
2063,VLA,12.3,1
2080,VLA,12.3,1.3
2261,VLA,8.4,0.8
2525,VLA,9,4
2787,VLA,8.3,0.8
2825,VLA A ,6.7,0.1
3213.38,VLA D/A,4.49,0.479
3959.47,VLA B/C,2.492,0.215
4184.57,VLA A,2.47,0.323
4460.9,VLA B/C,0.99,0.152
