2cm,,3.6cm,,6cm,
X,Y,X,Y,X,Y
6.261641054063902,5.51943092334578,5.846879420241857,18.50436082155369,5.8821154290124005,22.216213807071526
6.221557253584454,7.746338894831439,5.9128204051913835,16.555216155913087,5.95895455521455,18.99326163056412
6.575668153198245,4.0934063144176065,5.955645046752567,14.720608062160522,5.910121066626198,20.903476947167604
7.0403726858487925,1.371850347937766,6.0414888767985495,12.535654028712258,6.0252399172002775,16.878262739432927
6.921882239740657,0.27941920126784225,6.140336084257003,10.776649742194536,6.128529313473986,14.665306972783057
7.330794689737859,8.920775141690456,6.28786968113066,8.972422355574793,6.204662846808744,12.979716901448882
7.322212553538765,1.5644718414697394,6.4017863052849515,7.361530984701815,6.332347838473557,11.193868741815592
7.356195297975473,7.170567487054598,6.535343726707223,6.068156332384845,6.446817056849168,9.623312528257784
7.4414723612184694,12.935219278099765,6.6875305733995685,4.732883390670025,6.617685188025399,7.729669220420007
7.492079376017504,20.702591534335085,6.792804777441796,5.646151979974192,6.754382277439477,6.050074336800648
7.527179115090211,24.753696156627257,6.897389788658869,3.1509119563332746,6.994133906119002,5.322172528793388
7.570214284215165,36.099150336887845,6.833294855919576,4.770353870074885,7.244022261746615,3.6797659926578774
7.611072454315471,49.38839142948513,7.1353208487130875,2.6849739428943877,7.3483921680055255,5.688797051338554
7.853735822500024,77.922595157077,7.164577316192318,6.977658436531655,7.473464307220892,2.7446158596429484
7.818553432212214,80.7170307554889,7.315126789805154,3.03719550522149,7.552984463586323,7.583802174874165
7.841497810016289,88.28231311271131,7.3758619075218235,6.88361570610725,7.624518624761835,10.46292537945233
7.841497810016289,82.17154703748221,7.440646033086271,9.478802181819844,7.651194441170725,11.726453690327844
7.9427230062107395,70.26589485192531,7.499172601067789,11.770453116901749,7.7033816534309745,14.29465831522998
8.047997210252966,66.8828777168819,7.536290164409459,15.215149536356392,7.752419637365174,15.510404375682327
8.133026375056303,63.37392344761422,7.565008416982308,19.370007136319458,7.782951345190311,20.255037521559373
8.142024170273588,58.11529356843804,7.604814896732541,18.66579182426696,7.835553521899339,25.133885846440535
8.19444947916886,52.1824567420429,7.6087292369135415,23.105058010980628,7.898762349577721,28.016845284699272
8.201859508468528,50.208910894728525,7.647145433322947,27.46504857580804,7.933977149259539,30.152335204319797
8.267243487047462,45.91750015622186,7.681510089672036,33.24088392447402,7.984984525621922,32.21466881885246
8.303624572376016,37.673730345146154,7.713902152454261,40.49724356783012,8.01965415531852,34.10161263369693
8.304434373945572,45.103161562806704,7.752419637365174,44.3917272256101,8.073640926622227,35.59326169182758
8.426837108155974,32.73195952619881,7.778691106889129,48.57794684216857,8.23297293719356,37.21188094791748
8.491074354738384,34.7623274611169,7.815343407972534,57.66494688506531,8.288990057091599,40.60241893318642
8.388113869466316,34.201779826428336,7.902889523600166,59.96643967059592,8.558966122180397,38.28819746932845
8.601747235910981,39.527905424600505,7.936616305850156,62.578948380140545,8.636453017463364,36.53883703642755
8.721052742040422,54.344612551415366,8.099824510704524,60.781791515499044,8.897408639188995,40.221138231651686
8.691789458049662,41.46168521112006,8.128977367208526,62.43338948671228,8.83581845149205,38.16638899309932
8.801112669939668,63.03359137508315,8.185339556449595,56.937498759414666,8.85779877980856,36.99050538689721
8.86544257148912,65.23832650179374,8.229624133710434,54.80186522520966,8.999810323347699,42.87718808418698
8.992038963069508,71.79584635872197,8.284515116947308,53.030644454136755,8.922582905373009,41.68063473859489
9.040004132958568,73.99067079827532,8.324065927146918,49.194060628783795,9.056936347594732,46.9417090303585
9.132119061495517,69.57077125811895,8.363819822379648,47.09076232590453,9.237859583857295,50.026176732620186
9.125033297761906,67.02116162897124,8.418654957232413,44.54508720330319,9.315083603616984,48.672676777502794
9.2734969188471,53.50028140355433,8.487989396378172,39.802278266047665,9.52858441325711,49.309297222191596
9.279705397547025,57.40316983337561,8.447113698105365,36.450539634929214,9.505640035453034,48.25226337902363
9.390648212576139,41.7044503012325,8.532936522254282,43.040480139222524,9.542081106083037,44.47007366845154
9.367973768628584,51.94130101562586,8.55389824634478,41.383214578466166,9.585000589269484,41.5361472565604
9.39631682356303,43.56228368523947,8.51262086078549,35.27203968770333,9.64609872148285,39.63640569169416
9.469198964823033,34.66272620005955,8.561853115298243,39.85465853577848,9.741728339192704,37.71525491589891
9.524535405409333,31.761529724424662,8.70241810365008,46.27953512051138,9.811221039494162,35.578247041568844
9.558277137474146,30.181463173913528,8.7647810319542,48.4526221577929,9.920258439065499,31.066576241780012
9.623639692731135,28.558479223543245,8.70213692254954,43.16718679355557,9.975648866423104,29.008297034725388
9.795230640975666,20.818841458707794,8.802358518508216,52.805851246066055,10.047397285485728,27.406277913170044
9.729871297643774,23.418813623965605,8.888976140236451,58.34771480242793,12.31257628597719,36.509570778112874
9.740482490624156,22.189517329598715,8.850600543634732,56.90338872776595,12.24546867911613,34.5087237727424
9.871467894499775,17.966489906230123,8.930304269175746,61.136189598881245,12.677542805450123,38.54583356744733
9.938604633244744,15.45245683156871,8.975767170616795,64.42269509534046,12.825350116766526,36.42082667015838
9.96803673166928,13.937424875665783,8.925282243938192,62.4981253377149,13.0056354721976,39.37833302989161
12.295406442572055,31.23328518024327,9.061598841480052,66.97506699160813,13.293486877049325,36.79791623016442
12.68977980694563,40.30365622159454,9.092255615184655,68.82854699319748,13.361375241963737,35.01121629174297
12.538346913438733,35.142110428636,9.13733028455886,70.5977437226771,13.453197742156126,33.450053115431416
12.826224791193454,42.53685418468244,9.112886274218571,72.18260864770684,13.550128060517206,31.908303625535297
13.036522115364434,43.496302504328256,9.260600079035658,66.46631877182256,13.64529341375868,30.011182520606155
13.028276863019869,45.37419803050186,9.288118336075183,64.51860694213175,13.73049050976308,27.897034896024536
13.329060995042072,35.9998290749093,9.25865055673858,68.19657488173087,13.749934646350757,26.248416080021798
13.212826378608066,39.59727843145904,9.32531105179346,60.88607782188449,13.837247866863096,24.684123646277513
